site_id,region,site_name,priority_band,priority_rank,recovery_cluster,required_radio_sku,radio_qty,required_cabinet_sku,cabinet_qty,required_power_sku,power_qty,required_fiber_sku,fiber_qty,planned_release_date,site_deployment_status,substitution_allowed_flag,coastal_flag,firmware_ready_flag,cable_tail_m,site_note
ST-001,North Metro,Alder Exchange,P1,1,Alpha,RRU-64T-A,2,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,2,18/07/2026,Release Ready,Yes,No,Yes,18,Flag predates July policy freeze
ST-002,North Metro,Brixton Hub,P1,2,Alpha,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,2,20/07/2026,Release Ready,Yes,No,Yes,21,Emergency service backhaul site
ST-003,Coast East,Cove Point,P1,3,Alpha,RRU-64T-A,2,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,24/07/2026,Release Ready,Yes,Yes,No,12,Coastal wind exposure
ST-004,South Metro,Denton Core,P2,4,Alpha,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,25/07/2026,Release Ready,Yes,No,Yes,19,Priority pending policy memo override
ST-005,West Ridge,Ealing Spur,P1,5,Alpha,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,26/07/2026,Release Ready,Yes,No,Yes,17,Firmware accepted
ST-006,West Ridge,Fenton Relay,P1,6,Alpha,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,27/07/2026,Release Ready,Yes,No,Yes,22,Power substitution candidate
ST-007,Coast East,Gable Beach,P1,7,Alpha,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,27/07/2026,Release Ready,Yes,Yes,Yes,23,Coastal restriction applies
ST-008,North Metro,Hale Street,P1,8,Alpha,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,28/07/2026,Release Ready,Yes,No,No,16,Legacy BBU firmware
ST-009,South Metro,Ivy Yard,P2,9,Beta,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,28/07/2026,Partial Release,Yes,No,Yes,20,Supplier date under review
ST-010,North Metro,Juniper Road,P2,10,Beta,RRU-64T-A,1,CAB-OD-42U,1,PWR-RECT-3K,1,FTK-24F,1,29/07/2026,Release Ready,Yes,No,Yes,11,Short cable tail
